gene	tpm1	tpm2	status_any	n_isoforms	diffisouse	status_overall	logFC_overall	dtu	dte	dge	logFC_overall_cat	avetpm	avetpm_cat
ENSG00000077585	19.234503	19.234503	1	5	1	0	0	1	0	0	[ 0.00, 0.56)	19.234503	[  17.148,3265.406]
ENSG00000078369	170.0033068	170.0033068	0	7	0	0	0	0	0	0	[ 0.00, 0.56)	170.0033068	[  17.148,3265.406]
ENSG00000078618	51.632525	51.632525	1	15	1	0	0	1	0	0	[ 0.00, 0.56)	51.632525	[  17.148,3265.406]
ENSG00000078808	141.376636	141.376636	0	8	0	0	0	0	0	0	[ 0.00, 0.56)	141.376636	[  17.148,3265.406]
ENSG00000078900	0.2893786	0.484898	1	8	0	1	0.744723066977153	0	0	1	[ 0.56, 1.54)	0.3871383	[   0.362,   2.628)
ENSG00000079277	41.03646369647	41.03646369647	1	31	1	0	0	1	0	0	[ 0.00, 0.56)	41.03646369647	[  17.148,3265.406]
ENSG00000079335	7.568756	18.82217	1	8	0	1	1.31430486176325	0	0	1	[ 0.56, 1.54)	13.195463	[   2.628,  17.148)
ENSG00000079739	37.0376566	37.294375	1	5	1	1	0.00996522837277128	0	1	0	[ 0.00, 0.56)	37.1660158	[  17.148,3265.406]
ENSG00000080910	0	0	0	7	0	0	0	0	0	0	[ 0.00, 0.56)	0	[   0.000,   0.362)
ENSG00000080947	2.3921429	2.675329	1	6	1	1	0.161412743888553	0	1	0	[ 0.00, 0.56)	2.53373595	[   0.362,   2.628)
ENSG00000081019	8.4099472	8.4099472	0	3	0	0	0	0	0	0	[ 0.00, 0.56)	8.4099472	[   2.628,  17.148)
ENSG00000081026	8.584501	8.584501	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	8.584501	[   2.628,  17.148)
ENSG00000081237	31.977059460503	29.615893560503	1	18	1	1	0.110665662594495	0	1	0	[ 0.00, 0.56)	30.796476510503	[  17.148,3265.406]
ENSG00000081248	0.0138998	0.0138998	0	2	0	0	0	0	0	0	[ 0.00, 0.56)	0.0138998	[   0.000,   0.362)
ENSG00000081277	0.2913170253699	2.11873	1	5	0	1	2.86253782569505	0	0	1	[ 2.62,13.22]	1.20502351268495	[   0.362,   2.628)
ENSG00000081692	8.464514	8.464514	0	5	0	0	0	0	0	0	[ 0.00, 0.56)	8.464514	[   2.628,  17.148)
ENSG00000081721	13.168815	13.168815	1	5	1	0	0	1	0	0	[ 0.00, 0.56)	13.168815	[   2.628,  17.148)
ENSG00000081870	30.241752	30.241752	1	6	1	0	0	1	0	0	[ 0.00, 0.56)	30.241752	[  17.148,3265.406]
ENSG00000081985	1.0507911	1.0507911	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	1.0507911	[   0.362,   2.628)
ENSG00000082482	2.230691	2.230691	1	9	1	0	0	1	0	0	[ 0.00, 0.56)	2.230691	[   0.362,   2.628)
ENSG00000082497	1.467963572	7.056563572	1	4	1	1	2.26514961857198	0	1	0	[ 1.54, 2.62)	4.262263572	[   2.628,  17.148)
ENSG00000082512	12.17236192	16.95558192	1	8	1	1	0.478151163728319	0	1	0	[ 0.00, 0.56)	14.56397192	[   2.628,  17.148)
ENSG00000083444	31.8379245	31.8379245	0	10	0	0	0	0	0	0	[ 0.00, 0.56)	31.8379245	[  17.148,3265.406]
ENSG00000084070	52.13567	52.13567	1	5	1	0	0	1	0	0	[ 0.00, 0.56)	52.13567	[  17.148,3265.406]
ENSG00000084072	27.1047283	3.997773	1	15	0	1	2.76127608433467	0	0	1	[ 2.62,13.22]	15.55125065	[   2.628,  17.148)
ENSG00000084073	34.950879	2.958744	1	4	0	1	3.56227195878207	0	0	1	[ 2.62,13.22]	18.9548115	[  17.148,3265.406]
ENSG00000084623	140.373551	140.373551	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	140.373551	[  17.148,3265.406]
ENSG00000084628	0.1875217	0.4922537	1	7	1	1	1.39234449625832	0	1	0	[ 0.56, 1.54)	0.3398877	[   0.000,   0.362)
ENSG00000084636	26.3788241	9.014704	1	20	0	1	1.5490282280906	0	0	1	[ 1.54, 2.62)	17.69676405	[  17.148,3265.406]
ENSG00000084652	20.31576	20.31576	1	2	1	0	0	1	0	0	[ 0.00, 0.56)	20.31576	[  17.148,3265.406]
ENSG00000085433	6.251148	6.251148	0	9	0	0	0	0	0	0	[ 0.00, 0.56)	6.251148	[   2.628,  17.148)
ENSG00000085465	1.838115	1.838115	0	4	0	0	0	0	0	0	[ 0.00, 0.56)	1.838115	[   0.362,   2.628)
ENSG00000085491	31.194668	3.12976	1	4	0	1	3.31717551908898	0	0	1	[ 2.62,13.22]	17.162214	[  17.148,3265.406]
ENSG00000085552	8.2598608	7.9348108	1	5	1	1	0.0579216452909941	0	1	0	[ 0.00, 0.56)	8.0973358	[   2.628,  17.148)
ENSG00000085831	18.2382725	6.23773	1	19	0	1	1.5478760740527	0	0	1	[ 1.54, 2.62)	12.23800125	[   2.628,  17.148)
ENSG00000085832	25.638699	25.638699	0	10	0	0	0	0	0	0	[ 0.00, 0.56)	25.638699	[  17.148,3265.406]
ENSG00000085840	2.61855	179.787	1	3	0	1	6.10137674366931	0	1	0	[ 2.62,13.22]	91.202775	[  17.148,3265.406]
ENSG00000085998	21.0474228	21.0474228	0	12	0	0	0	0	0	0	[ 0.00, 0.56)	21.0474228	[  17.148,3265.406]
ENSG00000085999	2.010580167	2.010580167	0	12	0	0	0	0	0	0	[ 0.00, 0.56)	2.010580167	[   0.362,   2.628)
ENSG00000086015	31.092941	31.092941	1	10	1	0	0	1	0	0	[ 0.00, 0.56)	31.092941	[  17.148,3265.406]
ENSG00000086619	4.450999	4.450999	0	4	0	0	0	0	0	0	[ 0.00, 0.56)	4.450999	[   2.628,  17.148)
ENSG00000088035	10.517511	10.517511	1	6	1	0	0	1	0	0	[ 0.00, 0.56)	10.517511	[   2.628,  17.148)
ENSG00000088280	9.9916316	40.1261	1	11	0	1	2.00574875257162	0	0	1	[ 1.54, 2.62)	25.0588658	[  17.148,3265.406]
ENSG00000090020	22.804269	22.5528051	1	7	1	1	0.0159970388628141	0	1	0	[ 0.00, 0.56)	22.67853705	[  17.148,3265.406]
ENSG00000090104	216.08544	12.4936275	1	6	0	1	4.11233753906278	0	0	1	[ 2.62,13.22]	114.28953375	[  17.148,3265.406]
ENSG00000090273	48.022675	47.7665834	1	4	1	1	0.00771407917250029	0	1	0	[ 0.00, 0.56)	47.8946292	[  17.148,3265.406]
ENSG00000090432	17.3669	17.3669	0	1	0	0	0	0	0	0	[ 0.00, 0.56)	17.3669	[  17.148,3265.406]
ENSG00000090621	81.8181008	81.8181008	0	25	0	0	0	0	0	0	[ 0.00, 0.56)	81.8181008	[  17.148,3265.406]
ENSG00000090686	28.7157396	28.7157396	0	15	0	0	0	0	0	0	[ 0.00, 0.56)	28.7157396	[  17.148,3265.406]
ENSG00000091483	44.474908	44.474908	1	3	1	0	0	1	0	0	[ 0.00, 0.56)	44.474908	[  17.148,3265.406]
ENSG00000092607	0.040485123	0.040485123	0	3	0	0	0	0	0	0	[ 0.00, 0.56)	0.040485123	[   0.000,   0.362)
ENSG00000092621	6.224831	6.4803	1	7	1	1	0.0580259334943608	0	1	0	[ 0.00, 0.56)	6.3525655	[   2.628,  17.148)
ENSG00000092847	7.67783	4.417697	1	2	1	1	0.797404146010732	0	1	0	[ 0.56, 1.54)	6.0477635	[   2.628,  17.148)
ENSG00000092850	0.0715008	0.0715008	0	3	0	0	0	0	0	0	[ 0.00, 0.56)	0.0715008	[   0.000,   0.362)
ENSG00000092853	1.79686	1.79686	0	6	0	0	0	0	0	0	[ 0.00, 0.56)	1.79686	[   0.362,   2.628)
ENSG00000092969	1.591009	1.591009	0	4	0	0	0	0	0	0	[ 0.00, 0.56)	1.591009	[   0.362,   2.628)
ENSG00000092978	5.0777967	5.0777967	0	5	0	0	0	0	0	0	[ 0.00, 0.56)	5.0777967	[   2.628,  17.148)
ENSG00000094963	1.484333	0.412126	1	8	0	1	1.84865739944794	0	0	1	[ 1.54, 2.62)	0.9482295	[   0.362,   2.628)
ENSG00000094975	12.55695	12.55695	0	3	0	0	0	0	0	0	[ 0.00, 0.56)	12.55695	[   2.628,  17.148)
ENSG00000097021	26.386675	18.684755	1	10	1	1	0.497947920489255	0	1	0	[ 0.00, 0.56)	22.535715	[  17.148,3265.406]
